Stem Diameter (mm) ,Group,Number,plants per pot,Notes,Dead? ,Root Biomass,Shoot Biomass
0.6,A,1,1,,,0.152,0.595
,B,1,,,Dead,,
0.71,C,1,1,,,0.93,0.503
0.59,D,1,1,,,1.26,1.26
,E,1,,,Dead,,
1.3,A,2,1,,,0.238,0.57
0.5,B,2,1,,,0.233,2.747
,C,2,,,Dead,,
1.59,D,2,1,,,0.356,4.227
,E,2,,,Dead,,
1.23,A,4,2,,,0.299,1.333
1.19,B,4,2,,,0.486,0.221
1.73,C,4,3,,,0.205,0.583
1.5,D,4,2,Two Soots,,0.481,1.107
1.37,E,4,2,,,0.386,0.399
2.35,A,6,4,,,0.205,0.84
0.94,B,6,2,2 shoots,,1.115,0.708
0.87,C,6,5,,,0.485,0.707
1.17,D,6,2,,,0.622,0.692
1.03,E,6,5,,,1.064,1.024
0.43,A,8,4,,,0.572,1.133
1,C,8,4,,,1.528,0.525
0.61,D,8,5,,,1.657,0.595
0.34,E,8,5,,,0.226,0.691
